4990,"DONGGUAN SZE CHEIK LEATHER GOODS",CHINA
4991,"LALMAI SPORTSWEAR IND LTD",BANGLADESH
4994,"CHANGZHOU TOOKU GARMENTS CO LTD",CHINA
4996,"MANUFACTURAS KALTEX SA DE CV",MEXICO
4998,"SANI LEATHER GOODS MANUFACTORY",CHINA
5000,"SUZHOU GENESIS TEXTILE TECHNOLOGY",CHINA
5006,U.K.TEXTILES,INDIA
5014,"I D EXPORTS",INDIA
5018,"TROPIC MAD S.A.",MADAGASCAR
5019,"NAGAPEACE CORPORATION LTD",CAMBODIA
5025,"SURYALAKSHMI COTTON MILLS LTD",INDIA
5043,"PUNGKOOK SAIGON II",VIETNAM
5044,"OZAK TEKSTIL KONFEKSIYON SANAYI VE",TURKEY
5063,"ARVIND LIMITED",INDIA
5064,"WENTA(FUJIAN)SHOES CO.,LTD",CHINA
5067,"FUJIAN HUAJING SPORTS FOOTWEAR CO.",CHINA
5075,"DONGGUAN GREAT MIND APPAREL CO",CHINA
5076,"DBL LEATHERS SA DE CV",MEXICO
5083,"NOBLAND VIETNAM CO.,LTD",VIETNAM
5087,"JIANGXI HUAJING FOOTWEAR CO., LTD.",CHINA
5093,"LOT, STOCK AND BARREL LLC",USA
5096,"YI DA MANUFACTURER CO LTD",CAMBODIA
5098,"ANANTA DENIM TECHNOLOGY LTD.",BANGLADESH
5099,"TANZANIA TOOKU GARMENTS CO LTD",TANZANIA
5101,"NHT FASHIONS LTD.",BANGLADESH
5102,"UNIVOGUE GARMENTS CO. LTD.",BANGLADESH
5103,"BRANCH OF YUPOONG VIETNAM / MOVINA",VIETNAM
5108,"XIAMEN YUAN GUANGQUAN SHOES CO.",CHINA
5109,"BHARAT SILKS",INDIA
5110,"HIRDARAMANI MERCURY APPAREL PVT","SRI LANKA"
5113,"AQUARELLE INDIA PVT LTD",INDIA
5114,"RADNIK AUTO EXPORTS",INDIA
5115,"ROICOM USA LLC",USA
5116,"SUNRISE FASHIONS - II",INDIA
5117,"AQUARELLE MADAGASCAR SA ANTSIRABE",MADAGASCAR
5118,"ACTIVE CLOTHING COMPANY PVT. LTD.",INDIA
5119,"PRANA SHOES S.L.",SPAIN
5120,"KARNAPHULI SHOES INDUSTRIES LTD.",BANGLADESH
5136,"MASOOD TEXTILE MILLS LIMITED",PAKISTAN
5138,"PRATIBHA SYNTEX LTD., P-2",INDIA
5140,"PRATIBHA SYNTEX LTD., P-6",INDIA
5141,"UNIQUE CAP MANUFACTURING LTD.",CHINA
5146,"QINGDAO YOUNGONE SPORTS PRODUCTS CO",CHINA
5147,"HIRDARAMANI INDUSTRIES(PVT)LTD-MRC","SRI LANKA"
5151,"ARVIND LIMITED",INDIA
5152,"CI JEANS, LLC",USA
5157,"DONGGUAN CRYSTAL KNITTING GARMENT",CHINA
5159,"DONGGUAN CRYSTAL KNITTING GARMENT",CHINA
5161,"ZHEJIANG ZHENGHONG FOOTWEAR CO., LT",CHINA
5163,"ARTISTIC MILLINERS (PVT) LTD",PAKISTAN
5164,"COTTON WEB LIMITED",PAKISTAN
5167,"YTC CORPORATION",CAMBODIA
8520,"CRESCENT BAHUMAN LTD",PAKISTAN
81008274,"LEVI STRAUSS POLAND SP. Z O.O.",POLAND
